date,ppi,real_gdp
1/1/1913,12,
1/4/1913,11.9,
1/7/1913,12.2,
1/10/1913,11.9,
1/1/1914,11.7,
1/4/1914,11.6,
1/7/1914,12.1,
1/10/1914,11.6,
1/1/1915,11.8,
1/4/1915,11.8,
1/7/1915,11.8,
1/10/1915,12.8,
1/1/1916,13.9,
1/4/1916,14.3,
1/7/1916,15,
1/10/1916,17.1,
1/1/1917,18.5,
1/4/1917,21,
1/7/1917,21.3,
1/10/1917,21.2,
1/1/1918,21.8,
1/4/1918,22.2,
1/7/1918,23.7,
1/10/1918,23.5,
1/1/1919,22.6,
1/4/1919,23.4,
1/7/1919,24.3,
1/10/1919,26,
1/1/1920,27.3,
1/4/1920,28.7,
1/7/1920,26.8,
1/10/1920,20.8,
1/1/1921,17.7,
1/4/1921,16.1,
1/7/1921,16.1,
1/10/1921,16,
1/1/1922,16,
1/4/1922,16.6,
1/7/1922,17.1,
1/10/1922,17.3,
1/1/1923,18,
1/4/1923,17.3,
1/7/1923,17.2,
1/10/1923,16.9,
1/1/1924,17,
1/4/1924,16.4,
1/7/1924,16.7,
1/10/1924,17.5,
1/1/1925,17.9,
1/4/1925,17.7,
1/7/1925,17.8,
1/10/1925,17.8,
1/1/1926,17.3,
1/4/1926,17.3,
1/7/1926,17.2,
1/10/1926,16.9,
1/1/1927,16.5,
1/4/1927,16.2,
1/7/1927,16.6,
1/10/1927,16.6,
1/1/1928,16.5,
1/4/1928,16.7,
1/7/1928,17,
1/10/1928,16.5,
1/1/1929,16.6,
1/4/1929,16.4,
1/7/1929,16.6,
1/10/1929,16.1,
1/1/1930,15.5,
1/4/1930,15,
1/7/1930,14.5,
1/10/1930,13.7,
1/1/1931,13.1,
1/4/1931,12.4,
1/7/1931,12.3,
1/10/1931,11.8,
1/1/1932,11.4,
1/4/1932,11,
1/7/1932,11.3,
1/10/1932,10.8,
1/1/1933,10.4,
1/4/1933,11.2,
1/7/1933,12.2,
1/10/1933,12.2,
1/1/1934,12.7,
1/4/1934,12.9,
1/7/1934,13.4,
1/10/1934,13.3,
1/1/1935,13.7,
1/4/1935,13.8,
1/7/1935,13.9,
1/10/1935,14,
1/1/1936,13.7,
1/4/1936,13.7,
1/7/1936,14,
1/10/1936,14.5,
